transaction_id,corruption_type,original_value,corrupted_value,difference
TXN000868,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000353,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000619,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000271,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000827,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000045,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000748,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000471,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000550,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000128,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000997,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000945,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000388,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000081,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000566,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000301,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000850,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000644,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000634,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000907,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000883,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000371,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000592,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000197,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000722,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000072,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000047,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000678,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000234,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000792,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000297,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000082,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000876,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000239,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000888,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000104,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000390,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000285,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000465,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000651,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000855,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000374,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000167,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000380,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000364,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000215,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000687,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000274,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000719,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000960,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000700,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000664,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000074,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000624,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000176,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000547,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000747,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000251,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000168,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000474,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000389,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000277,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000948,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000656,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000705,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000571,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000225,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000702,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000333,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000864,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000787,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000795,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000058,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000235,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000842,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000033,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000825,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000324,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000449,AMOUNT_MISMATCH,23923.51,23916.22,7.29
TXN000302,AMOUNT_MISMATCH,8804.03,8765.25,38.78
TXN000073,AMOUNT_MISMATCH,21005.31,20905.69,99.62
TXN000236,AMOUNT_MISMATCH,1323.92,1288.42,35.5
TXN000629,AMOUNT_MISMATCH,13004.89,12907.75,97.14
TXN000977,AMOUNT_MISMATCH,21225.97,21139.75,86.22
TXN000801,AMOUNT_MISMATCH,14610.84,14608.7,2.14
TXN000352,AMOUNT_MISMATCH,4724.91,4652.56,72.35
TXN000237,AMOUNT_MISMATCH,432.48,417.42,15.06
TXN000732,AMOUNT_MISMATCH,5891.71,5837.55,54.16
TXN000555,AMOUNT_MISMATCH,4978.98,4951.56,27.42
TXN000444,AMOUNT_MISMATCH,19230.99,19166.53,64.46
TXN000985,AMOUNT_MISMATCH,4105.81,4093.77,12.04
TXN000717,AMOUNT_MISMATCH,10466.64,10422.6,44.04
TXN000511,AMOUNT_MISMATCH,17828.81,17782.89,45.92
TXN000158,AMOUNT_MISMATCH,5389.76,5294.33,95.43
TXN000298,AMOUNT_MISMATCH,3270.39,3182.68,87.71
TXN000154,AMOUNT_MISMATCH,12904.83,12877.75,27.08
TXN000276,AMOUNT_MISMATCH,824.77,803.63,21.14
TXN000830,AMOUNT_MISMATCH,18983.82,18965.13,18.69
TXN000622,AMOUNT_MISMATCH,24978.34,24886.99,91.35
TXN000598,AMOUNT_MISMATCH,15580.27,15493.09,87.18
TXN000295,AMOUNT_MISMATCH,915.64,901.28,14.36
TXN000832,AMOUNT_MISMATCH,753.49,729.06,24.43
TXN000649,AMOUNT_MISMATCH,24272.39,24211.1,61.29
TXN000480,AMOUNT_MISMATCH,6111.83,6095.7,16.13
TXN001000,AMOUNT_MISMATCH,24043.46,23966.97,76.49
TXN000648,AMOUNT_MISMATCH,14994.79,14940.39,54.4
TXN000447,AMOUNT_MISMATCH,8639.72,8561.64,78.08
TXN000409,AMOUNT_MISMATCH,10651.56,10598.05,53.51
TXN000245,AMOUNT_MISMATCH,11892.12,11891.06,1.06
TXN000153,AMOUNT_MISMATCH,500.85,492.06,8.79
TXN000565,AMOUNT_MISMATCH,22225.44,22222.51,2.93
TXN000548,AMOUNT_MISMATCH,23434.97,23341.99,92.98
TXN000103,AMOUNT_MISMATCH,20380.19,20292.2,87.99
TXN000841,AMOUNT_MISMATCH,19278.23,19194.9,83.33
TXN000052,AMOUNT_MISMATCH,5306.35,5274.91,31.44
TXN000961,AMOUNT_MISMATCH,14313.55,14306.82,6.73
TXN000123,AMOUNT_MISMATCH,12275.63,12187.71,87.92
TXN000170,AMOUNT_MISMATCH,16479.43,16384.68,94.75
TXN000698,AMOUNT_MISMATCH,3865.41,3855.93,9.48
TXN000178,AMOUNT_MISMATCH,20039.67,19990.56,49.11
TXN000886,AMOUNT_MISMATCH,10114.04,10106.19,7.85
TXN000759,AMOUNT_MISMATCH,16579.1,16502.8,76.3
TXN000473,AMOUNT_MISMATCH,13136.47,13059.65,76.82
TXN000663,AMOUNT_MISMATCH,18491.67,18477.96,13.71
TXN000528,REFERENCE_TYPO,TXN000528,TXN0005N8,
TXN000609,REFERENCE_TYPO,TXN000609,TXN00060I,
TXN000184,REFERENCE_TYPO,TXN000184,TXN0001P4,
TXN000298,REFERENCE_TYPO,TXN000298,TXN000208,
TXN000586,REFERENCE_TYPO,TXN000586,TXNG00586,
TXN000973,REFERENCE_TYPO,TXN000973,T1N000973,
TXN000675,REFERENCE_TYPO,TXN000675,TXN001675,
TXN000475,REFERENCE_TYPO,TXN000475,TXN000375,
TXN000236,REFERENCE_TYPO,TXN000236,GXN000236,
TXN000599,REFERENCE_TYPO,TXN000599,ZXN000599,
TXN000841,REFERENCE_TYPO,TXN000841,TXN00G841,
TXN000813,REFERENCE_TYPO,TXN000813,TXNM00813,
TXN000769,REFERENCE_TYPO,TXN000769,TXN800769,
TXN000222,REFERENCE_TYPO,TXN000222,TXN0002I2,
TXN000796,REFERENCE_TYPO,TXN000796,TXN000L96,
TXN000349,REFERENCE_TYPO,TXN000349,TXN030349,
TXN000447,REFERENCE_TYPO,TXN000447,TXNE00447,
TXN000750,REFERENCE_TYPO,TXN000750,TXN000790,
TXN000726,REFERENCE_TYPO,TXN000726,TDN000726,
TXN000421,REFERENCE_TYPO,TXN000421,TXN00042A,
TXN000490,REFERENCE_TYPO,TXN000490,TPN000490,
TXN000575,REFERENCE_TYPO,TXN000575,TX0000575,
TXN000504,REFERENCE_TYPO,TXN000504,TXN000544,
TXN000135,REFERENCE_TYPO,TXN000135,TXNZ00135,
TXN000278,REFERENCE_TYPO,TXN000278,KXN000278,
TXN000252,REFERENCE_TYPO,TXN000252,TXN000A52,
TXN000070,REFERENCE_TYPO,TXN000070,TXN000Q70,
TXN000382,REFERENCE_TYPO,TXN000382,TXN0003S2,
TXN000022,REFERENCE_TYPO,TXN000022,TXN000922,
TXN000654,REFERENCE_TYPO,TXN000654,TXN0006J4,
TXN000614,REFERENCE_TYPO,TXN000614,TXNS00614,
TXN000257,REFERENCE_TYPO,TXN000257,TXND00257,
TXN000246,REFERENCE_TYPO,TXN000246,TXN00024D,
TXN000008,REFERENCE_TYPO,TXN000008,TXN00D008,
TXN000079,REFERENCE_TYPO,TXN000079,4XN000079,
TXN000788,REFERENCE_TYPO,TXN000788,TXN000787,
TXN000704,REFERENCE_TYPO,TXN000704,TXD000704,
TXN000065,REFERENCE_TYPO,TXN000065,TXN00006F,
TXN000256,REFERENCE_TYPO,TXN000256,TXE000256,
TXN000076,REFERENCE_TYPO,TXN000076,TPN000076,
TXN000034,REFERENCE_TYPO,TXN000034,TXN000H34,
TXN000959,REFERENCE_TYPO,TXN000959,TXNC00959,
TXN000372,REFERENCE_TYPO,TXN000372,T0N000372,
TXN000572,REFERENCE_TYPO,TXN000572,TXN00057U,
TXN000265,REFERENCE_TYPO,TXN000265,TXN0N0265,
TXN000313,REFERENCE_TYPO,TXN000313,TXN00P313,
TXN000208,MERCHANT_TYPO,Green Grocery,Green Groccery,
TXN000444,MERCHANT_TYPO,Sri Lakshmi Stores,Sri Lakshmi Store,
TXN000146,MERCHANT_TYPO,Green Grocery,Green Groccery,
TXN000790,MERCHANT_TYPO,Sri Lakshmi Stores,Sri Lakshmi Store,
TXN000720,MERCHANT_TYPO,Daily Needs,Daly Needs,
TXN000337,MERCHANT_TYPO,Tech World,Tek World,
TXN000510,MERCHANT_TYPO,Green Grocery,Green Groccery,
TXN000354,MERCHANT_TYPO,Sri Lakshmi Stores,Sri Lakshmi Store,
TXN000837,MERCHANT_TYPO,Green Grocery,Green Groccery,
TXN000083,MERCHANT_TYPO,Green Grocery,Green Groccery,
TXN000010,MERCHANT_TYPO,Tech World,Tek World,
TXN000511,MERCHANT_TYPO,Smart Home,Smaart Home,
TXN000692,MERCHANT_TYPO,Green Grocery,Green Groccery,
TXN000625,MERCHANT_TYPO,Sri Lakshmi Stores,Sri Lakshmi Store,
TXN000113,MERCHANT_TYPO,Fresh Mart,Fres Mart,
TXN000084,MERCHANT_TYPO,Urban Fashion,Urban Fashon,
TXN000597,MERCHANT_TYPO,Tech World,Tek World,
TXN000238,MERCHANT_TYPO,Urban Fashion,Urban Fashon,
TXN000562,MERCHANT_TYPO,Smart Home,Smaart Home,
TXN000147,MERCHANT_TYPO,Urban Fashion,Urban Fashon,
TXN000396,MERCHANT_TYPO,Smart Home,Smaart Home,
TXN000982,MERCHANT_TYPO,Sri Lakshmi Stores,Sri Lakshmi Store,
TXN000077,MERCHANT_TYPO,Sri Lakshmi Stores,Sri Lakshmi Store,
TXN000980,MERCHANT_TYPO,Sri Lakshmi Stores,Sri Lakshmi Store,
TXN000273,MERCHANT_TYPO,Urban Fashion,Urban Fashon,
TXN000417,MERCHANT_TYPO,Smart Home,Smaart Home,
TXN000319,MERCHANT_TYPO,ABC Electronics,ABC Electronic,
TXN000175,MERCHANT_TYPO,Green Grocery,Green Groccery,
TPN000490,MERCHANT_TYPO,Tech World,Tek World,
TXN000930,MERCHANT_TYPO,Green Grocery,Green Groccery,
TXN000603,MERCHANT_TYPO,Smart Home,Smaart Home,
TXN000783,MERCHANT_TYPO,Fresh Mart,Fres Mart,
TXN000339,MERCHANT_TYPO,Fresh Mart,Fres Mart,
TXN000681,MERCHANT_TYPO,Tech World,Tek World,
TXN000902,MERCHANT_TYPO,Smart Home,Smaart Home,
TXN000730,MERCHANT_TYPO,Daily Needs,Daly Needs,
TXN000587,MERCHANT_TYPO,Sri Lakshmi Stores,Sri Lakshmi Store,
TXN000009,MERCHANT_TYPO,Fresh Mart,Fres Mart,
TXN000744,MERCHANT_TYPO,Sri Lakshmi Stores,Sri Lakshmi Store,
TXN000913,MERCHANT_TYPO,Tech World,Tek World,
TXNS00614,MERCHANT_TYPO,ABC Electronics,ABC Electronic,
TXN000336,MERCHANT_TYPO,Sri Lakshmi Stores,Sri Lakshmi Store,
TXN000740,MERCHANT_TYPO,Daily Needs,Daly Needs,
TXN000117,MERCHANT_TYPO,Fresh Mart,Fres Mart,
TXN000979,MERCHANT_TYPO,Sri Lakshmi Stores,Sri Lakshmi Store,
TXN000149,MERCHANT_TYPO,Green Grocery,Green Groccery,
TXN000296,DUPLICATE_RECORD,ONE_RECORD,DUPLICATED,
TXN000130,DUPLICATE_RECORD,ONE_RECORD,DUPLICATED,
TXN000991,DUPLICATE_RECORD,ONE_RECORD,DUPLICATED,
TXN000120,DUPLICATE_RECORD,ONE_RECORD,DUPLICATED,
TXN000828,DUPLICATE_RECORD,ONE_RECORD,DUPLICATED,
TXN000613,DUPLICATE_RECORD,ONE_RECORD,DUPLICATED,
TXN000173,DUPLICATE_RECORD,ONE_RECORD,DUPLICATED,
TXN000306,DUPLICATE_RECORD,ONE_RECORD,DUPLICATED,
TXN000316,DUPLICATE_RECORD,ONE_RECORD,DUPLICATED,
TXN000673,DUPLICATE_RECORD,ONE_RECORD,DUPLICATED,
TXN000233,DUPLICATE_RECORD,ONE_RECORD,DUPLICATED,
TXN000800,DUPLICATE_RECORD,ONE_RECORD,DUPLICATED,
TXN000387,DUPLICATE_RECORD,ONE_RECORD,DUPLICATED,
TXN000226,DUPLICATE_RECORD,ONE_RECORD,DUPLICATED,
TXN000766,DUPLICATE_RECORD,ONE_RECORD,DUPLICATED,
TXN000708,DUPLICATE_RECORD,ONE_RECORD,DUPLICATED,
TXN000952,DUPLICATE_RECORD,ONE_RECORD,DUPLICATED,
TXN000561,DUPLICATE_RECORD,ONE_RECORD,DUPLICATED,
TXN000542,DUPLICATE_RECORD,ONE_RECORD,DUPLICATED,
TXN000282,DUPLICATE_RECORD,ONE_RECORD,DUPLICATED,
TXN000943,DUPLICATE_RECORD,ONE_RECORD,DUPLICATED,
TXN000056,DUPLICATE_RECORD,ONE_RECORD,DUPLICATED,
TXN000105,DUPLICATE_RECORD,ONE_RECORD,DUPLICATED,
TXN000375,DUPLICATE_RECORD,ONE_RECORD,DUPLICATED,
TXN000926,DUPLICATE_RECORD,ONE_RECORD,DUPLICATED,
TXN000311,DUPLICATE_RECORD,ONE_RECORD,DUPLICATED,
TXN000049,DUPLICATE_RECORD,ONE_RECORD,DUPLICATED,
