transaction_id,order_id,original_amount,currency,merchant_name,transaction_date,bank_reference,expected_order_match,expected_gateway_match,expected_bank_match
TXN000021,ORD000021,2785.37,INR,Fresh Mart,2026-08-09,BANK-5A12685B,True,True,True
TXN000022,ORD000022,8450.01,INR,Smart Home,2026-08-07,BANK-E117D37F,True,True,True
TXN000023,ORD000023,19411.36,INR,ABC Electronics,2026-08-06,BANK-B57C8E16,True,True,True
TXN000024,ORD000024,23921.57,INR,Urban Fashion,2026-08-07,BANK-4F075140,True,True,True
TXN000025,ORD000025,3805.77,INR,Tech World,2026-08-09,BANK-37ABC645,True,True,True
TXN000026,ORD000026,8649.08,INR,Fresh Mart,2026-08-05,BANK-59524C2D,True,True,True
TXN000027,ORD000027,7839.84,INR,Fresh Mart,2026-08-06,BANK-CF107439,True,True,True
TXN000028,ORD000028,12893.45,INR,Tech World,2026-08-13,BANK-92A46868,True,True,True
TXN000029,ORD000029,8489.1,INR,Daily Needs,2026-08-02,BANK-9CD9897D,True,True,True
TXN000030,ORD000030,9950.61,INR,Tech World,2026-08-10,BANK-257F2BCA,True,True,True
TXN000031,ORD000031,22990.53,INR,Green Grocery,2026-08-11,BANK-4520B095,True,True,True
TXN000032,ORD000032,15781.5,INR,Tech World,2026-08-18,BANK-3AC468D9,True,True,True
TXN000033,ORD000033,2975.38,INR,Daily Needs,2026-08-16,BANK-69F00E65,True,True,True
TXN000034,ORD000034,17267.95,INR,Smart Home,2026-08-20,BANK-DE9D02D4,True,True,True
TXN000035,ORD000035,4209.66,INR,Sri Lakshmi Stores,2026-08-18,BANK-5D393001,True,True,True
TXN000036,ORD000036,4575.45,INR,Daily Needs,2026-08-18,BANK-3C4849C6,True,True,True
TXN000037,ORD000037,572.52,INR,Daily Needs,2026-08-03,BANK-B1E9E592,True,True,True
TXN000038,ORD000038,6266.11,INR,Tech World,2026-08-02,BANK-90DB1B34,True,True,True
TXN000039,ORD000039,23683.23,INR,Daily Needs,2026-08-15,BANK-CBC8249D,True,True,True
TXN000040,ORD000040,17562.13,INR,Tech World,2026-08-15,BANK-AA424671,True,True,True
TXN000041,ORD000041,15115.67,INR,Urban Fashion,2026-08-16,BANK-2C0CDDF0,True,True,True
TXN000042,ORD000042,16766.56,INR,Smart Home,2026-08-05,BANK-B4FAD178,True,True,True
TXN000043,ORD000043,15556.99,INR,Daily Needs,2026-08-19,BANK-19C994D9,True,True,True
TXN000044,ORD000044,21842.51,INR,Tech World,2026-08-05,BANK-A3EB3267,True,True,True
TXN000045,ORD000045,19981.32,INR,Tech World,2026-08-21,BANK-5A391EE7,True,True,True
TXN000046,ORD000046,23087.77,INR,Urban Fashion,2026-08-06,BANK-6C9E740A,True,True,True
TXN000047,ORD000047,16929.73,INR,Smart Home,2026-08-19,BANK-6F81CCD7,True,True,True
TXN000048,ORD000048,7225.87,INR,Urban Fashion,2026-08-10,BANK-ADC83ACE,True,True,True
TXN000049,ORD000049,15732.84,INR,ABC Electronics,2026-08-20,BANK-3F548394,True,True,True
TXN000050,ORD000050,15419.72,INR,Urban Fashion,2026-08-05,BANK-84AD2839,True,True,True
TXN000051,ORD000051,4281.59,INR,Green Grocery,2026-08-11,BANK-9DAB5C95,True,True,True
TXN000052,ORD000052,5306.35,INR,Smart Home,2026-08-21,BANK-D0A1F02F,True,True,True
TXN000053,ORD000053,2283.03,INR,Green Grocery,2026-08-19,BANK-60ECC06C,True,True,True
TXN000054,ORD000054,2908.91,INR,Smart Home,2026-08-16,BANK-410611F5,True,True,True
TXN000055,ORD000055,8040.04,INR,ABC Electronics,2026-08-11,BANK-E79B752F,True,True,True
TXN000056,ORD000056,6620.35,INR,Fresh Mart,2026-08-17,BANK-7C93A318,True,True,True
TXN000057,ORD000057,21203.1,INR,Smart Home,2026-08-14,BANK-DD22DE77,True,True,True
TXN000058,ORD000058,14182.72,INR,Tech World,2026-08-20,BANK-0447EAE2,True,True,True
TXN000059,ORD000059,15806.14,INR,Sri Lakshmi Stores,2026-08-15,BANK-E3DCCBA1,True,True,True
TXN000060,ORD000060,1033.33,INR,Urban Fashion,2026-08-14,BANK-FAEED309,True,True,True
TXN000061,ORD000061,5054.54,INR,Daily Needs,2026-08-05,BANK-446DC2B2,True,True,True
TXN000062,ORD000062,10361.47,INR,ABC Electronics,2026-08-02,BANK-8D83D73E,True,True,True
TXN000063,ORD000063,12420.65,INR,Daily Needs,2026-08-02,BANK-056F3D7E,True,True,True
TXN000064,ORD000064,23242.72,INR,Tech World,2026-08-03,BANK-3D5AC6D8,True,True,True
TXN000065,ORD000065,5901.57,INR,Daily Needs,2026-08-04,BANK-26E9297C,True,True,True
TXN000066,ORD000066,8799.09,INR,Urban Fashion,2026-08-11,BANK-B6AE2B9A,True,True,True
TXN000067,ORD000067,16482.46,INR,Smart Home,2026-08-15,BANK-70F2CE54,True,True,True
TXN000068,ORD000068,19159.87,INR,Green Grocery,2026-08-01,BANK-5647C227,True,True,True
TXN000069,ORD000069,13456.21,INR,Green Grocery,2026-08-04,BANK-FCED7184,True,True,True
TXN000070,ORD000070,23931.37,INR,Green Grocery,2026-08-15,BANK-C503B43B,True,True,True
TXN000071,ORD000071,919.54,INR,Fresh Mart,2026-08-04,BANK-3666358B,True,True,True
TXN000072,ORD000072,20763.87,INR,Smart Home,2026-08-21,BANK-4CEB2548,True,True,True
TXN000073,ORD000073,21005.31,INR,Urban Fashion,2026-08-15,BANK-D1FD8769,True,True,True
TXN000074,ORD000074,13278.17,INR,Daily Needs,2026-08-16,BANK-CAE45E62,True,True,True
TXN000075,ORD000075,20104.69,INR,ABC Electronics,2026-08-09,BANK-8B0B494D,True,True,True
TXN000076,ORD000076,9910.16,INR,Sri Lakshmi Stores,2026-08-19,BANK-D0FB1CD2,True,True,True
TXN000077,ORD000077,6299.99,INR,Sri Lakshmi Stores,2026-08-19,BANK-D2841559,True,True,True
TXN000078,ORD000078,23957.26,INR,Sri Lakshmi Stores,2026-08-04,BANK-D75F6482,True,True,True
TXN000079,ORD000079,9275.88,INR,Daily Needs,2026-08-20,BANK-DF4B9BF3,True,True,True
TXN000080,ORD000080,13034.56,INR,Daily Needs,2026-08-13,BANK-F8B48CE5,True,True,True
TXN000081,ORD000081,3851.33,INR,Smart Home,2026-08-14,BANK-EDED14FC,True,True,True
TXN000082,ORD000082,5351.11,INR,Green Grocery,2026-08-14,BANK-968903AC,True,True,True
TXN000083,ORD000083,2510.03,INR,Green Grocery,2026-08-01,BANK-6C47F773,True,True,True
TXN000084,ORD000084,7825.25,INR,Urban Fashion,2026-08-21,BANK-CAD7A19C,True,True,True
TXN000085,ORD000085,24318.12,INR,Fresh Mart,2026-08-15,BANK-EC23A471,True,True,True
TXN000086,ORD000086,15384.37,INR,Fresh Mart,2026-08-19,BANK-EFB88EC9,True,True,True
TXN000087,ORD000087,19920.31,INR,Smart Home,2026-08-01,BANK-105F2229,True,True,True
TXN000088,ORD000088,6868.48,INR,Urban Fashion,2026-08-08,BANK-C2531325,True,True,True
TXN000089,ORD000089,15917.4,INR,Tech World,2026-08-03,BANK-D9790439,True,True,True
TXN000090,ORD000090,17067.7,INR,Urban Fashion,2026-08-09,BANK-76FB8F82,True,True,True
TXN000091,ORD000091,1523.9,INR,Tech World,2026-08-04,BANK-C3368356,True,True,True
TXN000092,ORD000092,23077.1,INR,ABC Electronics,2026-08-17,BANK-19ECEA89,True,True,True
TXN000093,ORD000093,24870.77,INR,Sri Lakshmi Stores,2026-08-12,BANK-68D5E8BE,True,True,True
TXN000094,ORD000094,18647.95,INR,Daily Needs,2026-08-09,BANK-A1D37640,True,True,True
TXN000095,ORD000095,23011.88,INR,Smart Home,2026-08-13,BANK-3564A7FA,True,True,True
TXN000096,ORD000096,7095.28,INR,Daily Needs,2026-08-09,BANK-96F3C894,True,True,True
TXN000097,ORD000097,16708.0,INR,Tech World,2026-08-11,BANK-C4411BE5,True,True,True
TXN000098,ORD000098,14586.68,INR,ABC Electronics,2026-08-07,BANK-B0268980,True,True,True
TXN000099,ORD000099,14294.26,INR,Urban Fashion,2026-08-18,BANK-B83A3CDD,True,True,True
TXN000100,ORD000100,7657.37,INR,Sri Lakshmi Stores,2026-08-03,BANK-8AFFF751,True,True,True
TXN000101,ORD000101,10891.87,INR,Daily Needs,2026-08-12,BANK-712E7E49,True,True,True
TXN000102,ORD000102,1341.53,INR,Smart Home,2026-08-01,BANK-48CF45C2,True,True,True
TXN000103,ORD000103,20380.19,INR,Green Grocery,2026-08-15,BANK-886F6CEA,True,True,True
TXN000104,ORD000104,8531.9,INR,Daily Needs,2026-08-15,BANK-827A758E,True,True,True
TXN000105,ORD000105,20397.55,INR,ABC Electronics,2026-08-17,BANK-2CF3AEF8,True,True,True
TXN000106,ORD000106,20941.83,INR,Fresh Mart,2026-08-18,BANK-B9C05CE0,True,True,True
TXN000107,ORD000107,3056.58,INR,Fresh Mart,2026-08-06,BANK-FDD51795,True,True,True
TXN000108,ORD000108,8368.86,INR,Sri Lakshmi Stores,2026-08-04,BANK-7272894E,True,True,True
TXN000109,ORD000109,16553.24,INR,Fresh Mart,2026-08-17,BANK-041CE438,True,True,True
TXN000110,ORD000110,3688.52,INR,ABC Electronics,2026-08-08,BANK-2455F37A,True,True,True
TXN000111,ORD000111,6336.98,INR,Daily Needs,2026-08-16,BANK-C3051C1E,True,True,True
TXN000112,ORD000112,12244.81,INR,Fresh Mart,2026-08-01,BANK-7DEE2378,True,True,True
TXN000113,ORD000113,5633.96,INR,Fresh Mart,2026-08-12,BANK-CE254348,True,True,True
TXN000114,ORD000114,19013.52,INR,Tech World,2026-08-09,BANK-779D2609,True,True,True
TXN000115,ORD000115,6760.54,INR,Tech World,2026-08-03,BANK-AF566704,True,True,True
TXN000116,ORD000116,22906.77,INR,Green Grocery,2026-08-18,BANK-F931351D,True,True,True
TXN000117,ORD000117,22743.29,INR,Fresh Mart,2026-08-12,BANK-5563B2F1,True,True,True
TXN000118,ORD000118,5702.02,INR,Tech World,2026-08-05,BANK-15937B58,True,True,True
TXN000119,ORD000119,20613.38,INR,ABC Electronics,2026-08-11,BANK-F708C1C7,True,True,True
TXN000120,ORD000120,8658.78,INR,Tech World,2026-08-02,BANK-388F347E,True,True,True
TXN000121,ORD000121,16727.06,INR,Tech World,2026-08-06,BANK-30B23873,True,True,True
TXN000122,ORD000122,22874.4,INR,Fresh Mart,2026-08-21,BANK-BDAC0EEC,True,True,True
TXN000123,ORD000123,12275.63,INR,ABC Electronics,2026-08-04,BANK-6788D4F3,True,True,True
TXN000124,ORD000124,8108.35,INR,Sri Lakshmi Stores,2026-08-18,BANK-56A23C9B,True,True,True
TXN000125,ORD000125,5851.47,INR,Green Grocery,2026-08-08,BANK-5ADC05A4,True,True,True
TXN000126,ORD000126,11158.83,INR,Daily Needs,2026-08-16,BANK-9F62E31D,True,True,True
TXN000127,ORD000127,3339.47,INR,Fresh Mart,2026-08-18,BANK-CDF813E8,True,True,True
TXN000128,ORD000128,2301.0,INR,Smart Home,2026-08-18,BANK-08823BB4,True,True,True
TXN000129,ORD000129,2435.35,INR,ABC Electronics,2026-08-10,BANK-71DDA58D,True,True,True
TXN000130,ORD000130,23066.3,INR,Sri Lakshmi Stores,2026-08-03,BANK-3E0D7052,True,True,True
TXN000131,ORD000131,22345.16,INR,Fresh Mart,2026-08-19,BANK-46449EE5,True,True,True
TXN000132,ORD000132,19431.91,INR,Sri Lakshmi Stores,2026-08-02,BANK-9A2ADA25,True,True,True
TXN000133,ORD000133,13669.73,INR,Smart Home,2026-08-03,BANK-B26976B4,True,True,True
TXN000134,ORD000134,11396.69,INR,Urban Fashion,2026-08-02,BANK-8BB091E6,True,True,True
TXN000135,ORD000135,736.42,INR,Green Grocery,2026-08-16,BANK-CE0B525F,True,True,True
TXN000136,ORD000136,2678.51,INR,Tech World,2026-08-09,BANK-94CCBF62,True,True,True
TXN000137,ORD000137,18592.52,INR,Tech World,2026-08-18,BANK-648D0D98,True,True,True
TXN000138,ORD000138,19007.85,INR,Tech World,2026-08-03,BANK-31C0A610,True,True,True
TXN000139,ORD000139,14475.32,INR,Green Grocery,2026-08-12,BANK-DA5F09BA,True,True,True
TXN000140,ORD000140,23212.45,INR,Tech World,2026-08-17,BANK-D7AFEB28,True,True,True
TXN000141,ORD000141,13961.39,INR,Smart Home,2026-08-15,BANK-85225B2E,True,True,True
TXN000142,ORD000142,9459.3,INR,ABC Electronics,2026-08-14,BANK-F7213868,True,True,True
TXN000143,ORD000143,18960.28,INR,Urban Fashion,2026-08-10,BANK-66E0A20E,True,True,True
TXN000144,ORD000144,12825.89,INR,ABC Electronics,2026-08-21,BANK-61F45B67,True,True,True
TXN000145,ORD000145,10557.43,INR,Green Grocery,2026-08-09,BANK-801E40E1,True,True,True
TXN000146,ORD000146,11003.93,INR,Green Grocery,2026-08-21,BANK-5C0F70F6,True,True,True
TXN000147,ORD000147,20743.42,INR,Urban Fashion,2026-08-07,BANK-258782F7,True,True,True
TXN000148,ORD000148,15442.26,INR,Urban Fashion,2026-08-11,BANK-47D77235,True,True,True
TXN000149,ORD000149,7292.92,INR,Green Grocery,2026-08-05,BANK-FE7FAC9C,True,True,True
TXN000150,ORD000150,17647.57,INR,Sri Lakshmi Stores,2026-08-03,BANK-4781FF30,True,True,True
TXN000151,ORD000151,14308.45,INR,Daily Needs,2026-08-02,BANK-971FE797,True,True,True
TXN000152,ORD000152,16247.93,INR,Tech World,2026-08-12,BANK-49849D77,True,True,True
TXN000153,ORD000153,500.85,INR,ABC Electronics,2026-08-17,BANK-6F3C3CDB,True,True,True
TXN000154,ORD000154,12904.83,INR,Green Grocery,2026-08-02,BANK-C077BC29,True,True,True
TXN000155,ORD000155,17326.39,INR,Green Grocery,2026-08-15,BANK-3E8EDB90,True,True,True
TXN000156,ORD000156,18500.05,INR,Green Grocery,2026-08-08,BANK-F766E945,True,True,True
TXN000157,ORD000157,7937.78,INR,ABC Electronics,2026-08-08,BANK-0FEBADA7,True,True,True
TXN000158,ORD000158,5389.76,INR,Green Grocery,2026-08-08,BANK-5B6362DB,True,True,True
TXN000159,ORD000159,6598.98,INR,Daily Needs,2026-08-18,BANK-760CC6EF,True,True,True
TXN000160,ORD000160,6660.71,INR,Tech World,2026-08-08,BANK-A3274F6B,True,True,True
TXN000161,ORD000161,19717.45,INR,Sri Lakshmi Stores,2026-08-21,BANK-012A47CA,True,True,True
TXN000162,ORD000162,11569.92,INR,Daily Needs,2026-08-17,BANK-92E7D7C6,True,True,True
TXN000163,ORD000163,17645.51,INR,Fresh Mart,2026-08-20,BANK-39CFF933,True,True,True
TXN000164,ORD000164,20759.57,INR,Smart Home,2026-08-20,BANK-70DF8BB7,True,True,True
TXN000165,ORD000165,9120.65,INR,Green Grocery,2026-08-18,BANK-80E6541F,True,True,True
TXN000166,ORD000166,10948.61,INR,Green Grocery,2026-08-10,BANK-6C93FBBA,True,True,True
TXN000167,ORD000167,15928.24,INR,Fresh Mart,2026-08-02,BANK-4864FC07,True,True,True
TXN000168,ORD000168,8740.35,INR,Fresh Mart,2026-08-12,BANK-CE521737,True,True,True
TXN000169,ORD000169,6894.59,INR,Daily Needs,2026-08-04,BANK-EAA49217,True,True,True
TXN000170,ORD000170,16479.43,INR,ABC Electronics,2026-08-09,BANK-B768A73A,True,True,True
TXN000171,ORD000171,17535.39,INR,ABC Electronics,2026-08-21,BANK-DED3406F,True,True,True
TXN000172,ORD000172,15757.81,INR,Sri Lakshmi Stores,2026-08-16,BANK-861E7789,True,True,True
TXN000173,ORD000173,1499.33,INR,Tech World,2026-08-05,BANK-EE4C63EC,True,True,True
TXN000174,ORD000174,19223.34,INR,ABC Electronics,2026-08-13,BANK-92131E23,True,True,True
TXN000175,ORD000175,1825.87,INR,Green Grocery,2026-08-17,BANK-50C266DE,True,True,True
TXN000176,ORD000176,704.8,INR,Tech World,2026-08-15,BANK-F33A6D36,True,True,True
TXN000177,ORD000177,4450.56,INR,Daily Needs,2026-08-07,BANK-EAF5C3E8,True,True,True
TXN000178,ORD000178,20039.67,INR,Urban Fashion,2026-08-02,BANK-DAE24F2A,True,True,True
TXN000179,ORD000179,7738.47,INR,Daily Needs,2026-08-19,BANK-3AA8737C,True,True,True
TXN000180,ORD000180,8134.16,INR,Urban Fashion,2026-08-20,BANK-12BB4860,True,True,True
TXN000181,ORD000181,21082.55,INR,Sri Lakshmi Stores,2026-08-04,BANK-1F5B8176,True,True,True
TXN000182,ORD000182,20662.91,INR,Fresh Mart,2026-08-02,BANK-4CF8A00E,True,True,True
TXN000183,ORD000183,23667.73,INR,ABC Electronics,2026-08-17,BANK-BC8414D2,True,True,True
TXN000184,ORD000184,1749.8,INR,Sri Lakshmi Stores,2026-08-07,BANK-86E1F472,True,True,True
TXN000185,ORD000185,17471.97,INR,Sri Lakshmi Stores,2026-08-09,BANK-29E4EC01,True,True,True
TXN000186,ORD000186,21018.61,INR,Green Grocery,2026-08-15,BANK-6FD6F882,True,True,True
TXN000187,ORD000187,8098.74,INR,Green Grocery,2026-08-11,BANK-8DD444EE,True,True,True
TXN000188,ORD000188,8283.11,INR,Green Grocery,2026-08-18,BANK-F26EE23C,True,True,True
TXN000189,ORD000189,7577.31,INR,Smart Home,2026-08-08,BANK-35168FAD,True,True,True
TXN000190,ORD000190,9706.33,INR,Tech World,2026-08-20,BANK-C8FFE625,True,True,True
TXN000191,ORD000191,13704.27,INR,ABC Electronics,2026-08-16,BANK-8F6C6B9D,True,True,True
TXN000192,ORD000192,6798.4,INR,Green Grocery,2026-08-10,BANK-44495285,True,True,True
TXN000193,ORD000193,22878.28,INR,Urban Fashion,2026-08-14,BANK-036E37C7,True,True,True
TXN000194,ORD000194,2500.29,INR,Urban Fashion,2026-08-14,BANK-3445F961,True,True,True
TXN000195,ORD000195,6862.99,INR,Tech World,2026-08-18,BANK-9F7817CD,True,True,True
TXN000196,ORD000196,3759.03,INR,Daily Needs,2026-08-16,BANK-76608726,True,True,True
TXN000197,ORD000197,22961.59,INR,Smart Home,2026-08-20,BANK-3986C5E7,True,True,True
TXN000198,ORD000198,10033.59,INR,Urban Fashion,2026-08-02,BANK-88715288,True,True,True
TXN000199,ORD000199,5654.49,INR,Green Grocery,2026-08-20,BANK-69CF63C1,True,True,True
TXN000200,ORD000200,3909.24,INR,Daily Needs,2026-08-21,BANK-76D8F37B,True,True,True
TXN000201,ORD000201,699.19,INR,Green Grocery,2026-08-11,BANK-BAB4049C,True,True,True
TXN000202,ORD000202,4256.2,INR,Sri Lakshmi Stores,2026-08-04,BANK-9BDB8AE7,True,True,True
TXN000203,ORD000203,23957.78,INR,Sri Lakshmi Stores,2026-08-14,BANK-9CF4E261,True,True,True
TXN000204,ORD000204,22417.95,INR,ABC Electronics,2026-08-02,BANK-24938E64,True,True,True
TXN000205,ORD000205,17951.13,INR,Fresh Mart,2026-08-13,BANK-6BC58DFD,True,True,True
TXN000206,ORD000206,14666.56,INR,Urban Fashion,2026-08-16,BANK-1F470BAC,True,True,True
TXN000207,ORD000207,14510.62,INR,Sri Lakshmi Stores,2026-08-11,BANK-C8039818,True,True,True
TXN000208,ORD000208,12526.25,INR,Fresh Mart,2026-08-16,BANK-563AD2E7,True,True,True
TXN000209,ORD000209,18001.59,INR,ABC Electronics,2026-08-21,BANK-50771E00,True,True,True
TXN000210,ORD000210,9486.0,INR,Fresh Mart,2026-08-13,BANK-990DA7E3,True,True,True
TXN000211,ORD000211,19876.26,INR,Fresh Mart,2026-08-13,BANK-360FCC13,True,True,True
TXN000212,ORD000212,12054.69,INR,Fresh Mart,2026-08-14,BANK-FA7D70B8,True,True,True
TXN000213,ORD000213,6730.04,INR,Green Grocery,2026-08-10,BANK-8B7A09AB,True,True,True
TXN000214,ORD000214,21167.14,INR,Smart Home,2026-08-17,BANK-7CA45A6C,True,True,True
TXN000215,ORD000215,11561.49,INR,Urban Fashion,2026-08-08,BANK-C2E42AEE,True,True,True
TXN000216,ORD000216,22241.52,INR,Fresh Mart,2026-08-02,BANK-B2990491,True,True,True
TXN000217,ORD000217,14441.1,INR,Urban Fashion,2026-08-12,BANK-0FD0FB76,True,True,True
TXN000218,ORD000218,5124.94,INR,Smart Home,2026-08-17,BANK-A3289DB7,True,True,True
TXN000219,ORD000219,4581.39,INR,Smart Home,2026-08-02,BANK-C2669253,True,True,True
TXN000220,ORD000220,16669.88,INR,Smart Home,2026-08-15,BANK-03C022A4,True,True,True
TXN000221,ORD000221,18690.15,INR,Urban Fashion,2026-08-21,BANK-88C92FC5,True,True,True
TXN000222,ORD000222,547.83,INR,Daily Needs,2026-08-03,BANK-0CBE4941,True,True,True
TXN000223,ORD000223,3297.22,INR,Green Grocery,2026-08-04,BANK-B48531CC,True,True,True
TXN000224,ORD000224,10330.41,INR,Green Grocery,2026-08-12,BANK-3A2F5013,True,True,True
TXN000225,ORD000225,18086.55,INR,Urban Fashion,2026-08-05,BANK-0153600D,True,True,True
TXN000226,ORD000226,5115.94,INR,Tech World,2026-08-13,BANK-A481790E,True,True,True
TXN000227,ORD000227,3371.53,INR,Smart Home,2026-08-13,BANK-C543C89A,True,True,True
TXN000228,ORD000228,19802.97,INR,ABC Electronics,2026-08-18,BANK-E5586F87,True,True,True
TXN000229,ORD000229,14246.93,INR,ABC Electronics,2026-08-16,BANK-A49F0D6C,True,True,True
TXN000230,ORD000230,20056.76,INR,Sri Lakshmi Stores,2026-08-06,BANK-E330C2E0,True,True,True
TXN000231,ORD000231,23305.66,INR,Sri Lakshmi Stores,2026-08-11,BANK-D4C881A2,True,True,True
TXN000232,ORD000232,24043.59,INR,ABC Electronics,2026-08-12,BANK-163B1A11,True,True,True
TXN000233,ORD000233,16775.34,INR,Fresh Mart,2026-08-11,BANK-77C21CC1,True,True,True
TXN000234,ORD000234,14628.12,INR,Smart Home,2026-08-06,BANK-39D0CF63,True,True,True
TXN000235,ORD000235,20534.1,INR,Daily Needs,2026-08-19,BANK-EC638189,True,True,True
TXN000236,ORD000236,1323.92,INR,Green Grocery,2026-08-10,BANK-253810C1,True,True,True
TXN000237,ORD000237,432.48,INR,Sri Lakshmi Stores,2026-08-12,BANK-3396EFD6,True,True,True
TXN000238,ORD000238,19394.63,INR,Urban Fashion,2026-08-10,BANK-F16F2DCE,True,True,True
TXN000239,ORD000239,9158.71,INR,Fresh Mart,2026-08-04,BANK-B6C72F1D,True,True,True
TXN000240,ORD000240,5443.16,INR,Smart Home,2026-08-20,BANK-5C8F82A3,True,True,True
TXN000241,ORD000241,21267.93,INR,Green Grocery,2026-08-08,BANK-4EAF41E5,True,True,True
TXN000242,ORD000242,11883.74,INR,Urban Fashion,2026-08-08,BANK-C0B2E196,True,True,True
TXN000243,ORD000243,6908.08,INR,Tech World,2026-08-10,BANK-B3F83374,True,True,True
TXN000244,ORD000244,5215.18,INR,Green Grocery,2026-08-06,BANK-88C10185,True,True,True
TXN000245,ORD000245,11892.12,INR,ABC Electronics,2026-08-12,BANK-111FAEB3,True,True,True
TXN000246,ORD000246,16440.41,INR,Smart Home,2026-08-01,BANK-9159CE60,True,True,True
TXN000247,ORD000247,19422.93,INR,Fresh Mart,2026-08-06,BANK-1548731E,True,True,True
TXN000248,ORD000248,21781.15,INR,ABC Electronics,2026-08-20,BANK-FBB81D91,True,True,True
TXN000249,ORD000249,8021.43,INR,Green Grocery,2026-08-16,BANK-8AC85777,True,True,True
TXN000250,ORD000250,4431.28,INR,Tech World,2026-08-12,BANK-4C0C9601,True,True,True
TXN000251,ORD000251,18170.12,INR,Urban Fashion,2026-08-07,BANK-AB70363B,True,True,True
TXN000252,ORD000252,7407.6,INR,Tech World,2026-08-16,BANK-83A33D36,True,True,True
TXN000253,ORD000253,21631.8,INR,ABC Electronics,2026-08-07,BANK-B14779FA,True,True,True
TXN000254,ORD000254,24175.99,INR,Sri Lakshmi Stores,2026-08-05,BANK-E259D5C0,True,True,True
TXN000255,ORD000255,9375.44,INR,Smart Home,2026-08-08,BANK-0D51361A,True,True,True
TXN000256,ORD000256,1074.23,INR,Daily Needs,2026-08-12,BANK-B60ACD6A,True,True,True
TXN000257,ORD000257,15628.04,INR,Fresh Mart,2026-08-10,BANK-783E8CC4,True,True,True
TXN000258,ORD000258,12914.9,INR,Green Grocery,2026-08-13,BANK-96CEA7EB,True,True,True
TXN000259,ORD000259,17060.99,INR,Daily Needs,2026-08-06,BANK-9DE1E615,True,True,True
TXN000260,ORD000260,19492.99,INR,Sri Lakshmi Stores,2026-08-12,BANK-36757766,True,True,True
TXN000261,ORD000261,4829.98,INR,Urban Fashion,2026-08-21,BANK-08A205F9,True,True,True
TXN000262,ORD000262,1891.29,INR,Sri Lakshmi Stores,2026-08-16,BANK-775C77FF,True,True,True
TXN000263,ORD000263,5676.5,INR,Daily Needs,2026-08-21,BANK-3497CE7F,True,True,True
TXN000264,ORD000264,4751.97,INR,ABC Electronics,2026-08-21,BANK-762E31E9,True,True,True
TXN000265,ORD000265,3039.83,INR,ABC Electronics,2026-08-21,BANK-7E03FC69,True,True,True
TXN000266,ORD000266,3109.26,INR,Tech World,2026-08-01,BANK-B1977759,True,True,True
TXN000267,ORD000267,13622.35,INR,Tech World,2026-08-11,BANK-9D0FD865,True,True,True
TXN000268,ORD000268,13924.58,INR,Sri Lakshmi Stores,2026-08-04,BANK-0E11498D,True,True,True
TXN000269,ORD000269,11025.27,INR,Green Grocery,2026-08-10,BANK-4E531AE5,True,True,True
TXN000270,ORD000270,4355.63,INR,Daily Needs,2026-08-10,BANK-F4D0021A,True,True,True
TXN000271,ORD000271,1434.19,INR,Daily Needs,2026-08-11,BANK-FDDFAD30,True,True,True
